ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
5852c4ce83d5140a41ce61118b1306b0;69.0;772.0;847.0;497.0;168.0;1785.0;1.0;28.0;209.0;1033.0;271.0;12.0;0.0;526.0;274.0;237.0;13.0;39.0;388.0;176.0;53.0
3079b683f0144bb5276d7fe6ae63d889;26945.0;15636.0;49613.0;18457.0;31289.0;32316.0;1272.0;11701.0;15222.0;32126.0;4669.0;6136.0;587.0;9222.0;12609.0;4255.0;1853.0;1510.0;8494.0;2829.0;473.0
ec2754530dd27eba2e8446916395bc20;3093.0;1254.0;4751.0;2589.0;2416.0;2158.0;100.0;965.0;1697.0;2704.0;590.0;433.0;61.0;995.0;882.0;576.0;120.0;123.0;783.0;349.0;69.0
1d93d8a0c90869501cfcceb27ba97955;32997.0;3211.0;35545.0;26151.0;19877.0;11103.0;377.0;3766.0;12365.0;11613.0;2547.0;1828.0;85.0;10091.0;4501.0;981.0;659.0;867.0;5168.0;4132.0;2588.0
1850e799bfdba955369e6ef157b3c576;15463.0;97455.0;54514.0;18359.0;14477.0;82915.0;100.0;2160.0;7407.0;27710.0;7150.0;1162.0;60.0;13209.0;6743.0;2708.0;391.0;550.0;7365.0;3208.0;1258.0
a1490b4d6dbe945258532056fd100c18;50997.0;17851.0;77593.0;29835.0;23756.0;28123.0;374.0;4659.0;9671.0;12954.0;4275.0;1325.0;90.0;5991.0;3110.0;1031.0;338.0;321.0;2214.0;804.0;312.0
3f19ab94458e826abc69e8162d73d222;15401.0;6469.0;20126.0;24253.0;21052.0;26745.0;298.0;3986.0;18012.0;36030.0;10737.0;3769.0;221.0;27931.0;18067.0;7286.0;1984.0;2720.0;28008.0;14620.0;7221.0
09f699cf04b9d325acedaf3048376653;39340.0;214926.0;138151.0;30877.0;21879.0;116523.0;215.0;3734.0;7012.0;21314.0;5590.0;917.0;58.0;9077.0;2486.0;1060.0;258.0;366.0;2585.0;1556.0;612.0
aec77325d82ae3e7b51c442350c09d46;4218.0;10875.0;22142.0;6174.0;7152.0;15944.0;20.0;839.0;3841.0;5374.0;1819.0;302.0;34.0;4133.0;1470.0;461.0;212.0;371.0;1891.0;1168.0;370.0
db01f754db6b4ee39553ba290f0018bd;7620.0;1011.0;9076.0;8392.0;6622.0;4939.0;83.0;1190.0;4309.0;5077.0;2119.0;1027.0;74.0;3427.0;2732.0;540.0;399.0;313.0;2360.0;868.0;268.0
8ad93a4380cd99e9be6ddb178297049d;59.0;0.0;222.0;542.0;81.0;114.0;0.0;0.0;189.0;33.0;150.0;0.0;0.0;244.0;18.0;15.0;0.0;0.0;87.0;30.0;80.0
dd0a7db6b9032164924dc158698bdd76;16565.0;10743.0;35548.0;23592.0;47820.0;42487.0;1070.0;14668.0;46244.0;80972.0;9934.0;13018.0;1826.0;58017.0;53299.0;18293.0;9976.0;13624.0;79137.0;52426.0;22263.0
4b58ca5ddc85b4ded153b608861daade;142342.0;84107.0;298080.0;120781.0;180986.0;172267.0;3163.0;49477.0;94487.0;150803.0;27460.0;23848.0;2997.0;61056.0;56402.0;15854.0;10244.0;8171.0;42521.0;15918.0;3355.0
7a21ec542e7f8e8a4a81676e05209fef;29763.0;18223.0;52796.0;49885.0;45863.0;67204.0;446.0;4905.0;42128.0;62268.0;23291.0;3158.0;183.0;73090.0;26882.0;7544.0;1962.0;3803.0;42767.0;30153.0;20690.0
3c57c0d50e67bff909a726e66f798715;19418.0;14350.0;48037.0;14469.0;19330.0;16611.0;276.0;4478.0;7835.0;11472.0;2184.0;1502.0;191.0;2981.0;2923.0;1057.0;447.0;297.0;1719.0;443.0;62.0
5ba5a16a9d6f245070175d5fb7fcd04f;3826.0;876.0;8605.0;7383.0;4525.0;3594.0;47.0;717.0;4413.0;3868.0;1425.0;582.0;17.0;2932.0;2787.0;709.0;245.0;384.0;3292.0;1704.0;593.0
abc40a9ec0210af689591859ce2f1db2;91.0;2.0;78.0;127.0;58.0;25.0;0.0;9.0;34.0;32.0;12.0;10.0;0.0;24.0;5.0;0.0;1.0;1.0;11.0;2.0;1.0
0f4bf96549013c36d773824089f0b8ee;27.0;16.0;52.0;15.0;13.0;10.0;0.0;5.0;9.0;10.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0
9c980aed9f4d2fc85c550ec598bd4eeb;20.0;2.0;12.0;25.0;5.0;8.0;0.0;0.0;7.0;12.0;6.0;0.0;0.0;4.0;2.0;1.0;0.0;2.0;2.0;5.0;0.0
750a1fbf243d452f8c6f6d0f1d109daa;7710.0;6924.0;24067.0;9631.0;7079.0;11520.0;107.0;1650.0;5818.0;10378.0;1750.0;737.0;89.0;5866.0;3321.0;2731.0;392.0;458.0;6200.0;2987.0;1382.0
76b10a5030ec483ba6cea4b87cd1b9c3;1207.0;445.0;2001.0;1701.0;1235.0;1355.0;9.0;76.0;763.0;616.0;454.0;96.0;1.0;543.0;397.0;59.0;46.0;71.0;361.0;219.0;59.0
a8b893628e456c8faf7ac195e0b9a107;4523.0;1956.0;10074.0;5223.0;3368.0;5039.0;8.0;275.0;1691.0;2879.0;1246.0;135.0;8.0;2144.0;502.0;283.0;58.0;42.0;776.0;367.0;184.0
c817fd969f77ebba97dc51fcb96c8e81;107.0;20.0;238.0;223.0;308.0;200.0;6.0;62.0;399.0;441.0;64.0;63.0;4.0;412.0;285.0;74.0;59.0;83.0;479.0;315.0;112.0
c0e7b413981c6deab9393af30506dabf;3.0;9.0;33.0;31.0;27.0;111.0;0.0;4.0;48.0;64.0;53.0;2.0;0.0;72.0;23.0;2.0;0.0;3.0;31.0;25.0;9.0
6a91022228cdd6d0212ffbb05675fd7c;1096.0;1550.0;2033.0;1838.0;2290.0;4255.0;59.0;437.0;1649.0;4322.0;1029.0;412.0;11.0;2718.0;1747.0;817.0;167.0;200.0;2468.0;987.0;397.0
